[2019-07-18 20:52:10 $57703.0]	INFO	Server is reloading all workers now
[2019-07-18 20:52:13 ^57704.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=57705] exit timeout, forced kill
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=57706] exit timeout, forced kill
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=57707] exit timeout, forced kill
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=57708] exit timeout, forced kill
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=57709] exit timeout, forced kill
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=57710] exit timeout, forced kill
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=57711] exit timeout, forced kill
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_check_exit_status: worker#13[pid=57709] abnormal exit, status=0, signal=9
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_check_exit_status: worker#15[pid=57711] abnormal exit, status=0, signal=9
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_check_exit_status: worker#14[pid=57710] abnormal exit, status=0, signal=9
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_check_exit_status: worker#12[pid=57708] abnormal exit, status=0, signal=9
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_check_exit_status: worker#11[pid=57707] abnormal exit, status=0, signal=9
[2019-07-18 20:52:16 $57703.0]	WARNING	swManager_check_exit_status: worker#10[pid=57706] abnormal exit, status=0, signal=9
[2019-07-19 11:04:12 $80463.0]	INFO	Server is reloading all workers now
[2019-07-19 11:04:15 ^80464.8]	WARNING	swWorker_reactor_is_empty (ERRNO 9012): worker exit timeout, forced to terminate
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=80465] exit timeout, forced kill
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=80466] exit timeout, forced kill
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=80467] exit timeout, forced kill
[2019-07-19 11:04:18 $80463.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=80468] exit timeout, forced kill
